# Run=pixel_017 DC hysteresis follow-up
# theta_i_HWP_deg=52.895
# V_AC_Vpp=9.0
# ANL_peak_deg=123.549
# Q_null_deg=137.055
# A_null_deg=78.545
# EO_lockin_reference_phase_deg=-173.109326055
# Rotation_reference_phase_deg=-173.254735523
# DC_fringe_null_power_W=4.71450225564e-06
# DC_fringe_quadrature_power_W=0.000157731885714
# DC_fringe_bright_power_W=0.000310749269173
# DC_HYST_VMAX=40.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_GRID_PROFILE=center_dense
# DC_HYST_SPACING=centre-dense standard (+/-[40, 30, 25, 20, 15, 12.5, 10, 7.5, 5, 2.5, 1.25, 0] V, including 0 V)
# DC_HYST_VOLTAGE_LEVELS_V=[-40.0,-30.0,-25.0,-20.0,-15.0,-12.5,-10.0,-7.5,-5.0,-2.5,-1.25,0.0,1.25,2.5,5.0,7.5,10.0,12.5,15.0,20.0,25.0,30.0,40.0]
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=2.5
# Lock_in_avg_readings=4
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=16
# Lock_in_range_mode=fixed
# Lock_in_range_changes=0
# Lock_in_range_rescue_rereads=0
# Lock_in_input_overload_points=0
# Lock_in_output_overload_points=0
# AC_dither_Vpp=4.0
# Voltage_sequence=DC-only_pole_then_gated_AC_measurement
# AC_enabled_during_DC_ramp_or_poling=False
# SMU_electrical_sample_phase=after_DC_poling_before_AC_enable
# SMU_V_read_semantics=measured_terminal_voltage
# SMU_DC_readback_tolerance_V=0.5
# SMU_DC_readback_attempts=3
# Compliance_A=0.03
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp,AC_measurement_window_s,SMU_V_measured_V,SMU_V_set_V,LockIn_Sens_Index,LockIn_Range_Mode,LockIn_Range_Predicted_V,LockIn_Range_Noise_Prior_V,LockIn_Range_Upper_Bound_V,LockIn_Range_Requested_Index,LockIn_Range_Change_Reason,LockIn_Range_Changed,LockIn_Range_Rescue_Reread,LockIn_XY_Noise_Sigma_V,LockIn_Overload_Byte,LockIn_Overload_Byte_Observed,LockIn_Status_Byte,LockIn_Status_Byte_Observed,LockIn_Output_Overload_Observed,LockIn_Output_Overload_Final,LockIn_Input_Overload
31,1403.911,up,-2.5000,1.547545e-04,4.454373e-06,18.9302,2.000000e-04,1.143333e-07,1.1174,4,1,4.213455e-06,1.445072e-06,-1.753800e-04,-2.5000,0,4.0000,13.3150,-2.5000,-2.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.178091e-07,0,0,33,33,0,0,0
32,1447.729,up,-1.2500,1.548336e-04,4.084353e-06,19.9924,2.000000e-04,1.027295e-07,1.1732,4,1,3.838221e-06,1.396423e-06,-8.512080e-05,-1.2500,0,4.0000,13.3198,-1.2500,-1.2500,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.175003e-07,0,0,33,33,0,0,0
33,1491.590,up,0.0000,1.539562e-04,3.462535e-06,19.8187,2.000000e-04,2.537840e-08,2.4963,4,1,3.257450e-06,1.173955e-06,7.190320e-08,-0.0000,0,4.0000,13.3777,-0.0000,0.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.451599e-07,0,0,33,33,0,0,0
34,1535.417,up,1.2500,1.531384e-04,2.454620e-06,7.4485,2.000000e-04,7.225298e-08,1.1512,4,1,2.433907e-06,3.182060e-07,8.385600e-05,1.2500,0,4.0000,13.3413,1.2500,1.2500,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
35,1579.248,up,2.5000,1.526574e-04,1.904015e-06,-8.2773,2.000000e-04,7.505525e-08,2.1424,4,1,1.884181e-06,-2.741104e-07,1.686440e-04,2.5000,0,4.0000,13.3321,2.5000,2.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
36,1623.107,up,5.0000,1.519985e-04,1.048260e-06,-16.4280,2.000000e-04,9.668250e-08,3.7553,4,1,1.005466e-06,-2.964591e-07,3.350800e-04,5.0000,0,4.0000,13.3737,5.0000,5.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.120162e-07,0,0,33,33,0,0,0
37,1666.930,up,7.5000,1.519025e-04,1.004090e-06,-155.8521,2.000000e-04,9.157250e-08,2.8069,4,1,-9.162246e-07,-4.107659e-07,5.101220e-04,7.5000,0,4.0000,13.3379,7.5000,7.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
38,1710.775,up,10.0000,1.519456e-04,2.439198e-06,-173.2137,2.000000e-04,8.472009e-08,1.6998,4,1,-2.422109e-06,-2.882314e-07,6.675980e-04,10.0000,0,4.0000,13.3489,10.0000,10.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
39,1754.622,up,12.5000,1.520142e-04,4.839658e-06,-170.5650,2.000000e-04,5.864637e-08,0.7891,4,1,-4.774189e-06,-7.933547e-07,8.120600e-04,12.5000,0,4.0000,13.3599,12.5000,12.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
40,1798.438,up,15.0000,1.519582e-04,7.259717e-06,-170.2669,2.000000e-04,5.669161e-08,0.5835,4,1,-7.155221e-06,-1.227315e-06,9.459460e-04,15.0000,0,4.0000,13.3311,15.0000,15.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
41,1842.288,up,20.0000,1.519883e-04,1.095983e-05,-170.4849,2.000000e-04,9.937329e-08,0.3636,4,1,-1.080905e-05,-1.811742e-06,1.203860e-03,20.0000,0,4.0000,13.3498,20.0000,20.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
42,1886.120,up,25.0000,1.519703e-04,1.428476e-05,-170.9192,2.000000e-04,6.978443e-08,0.3836,4,1,-1.410573e-05,-2.254526e-06,1.490030e-03,24.9999,0,4.0000,13.3304,24.9999,25.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.011895e-07,0,0,33,33,0,0,0
43,1929.928,up,30.0000,1.520935e-04,1.764482e-05,-171.3552,2.000000e-04,2.527810e-08,0.2996,4,1,-1.744436e-05,-2.652172e-06,1.761180e-03,29.9999,0,4.0000,13.3209,29.9999,30.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
44,1974.198,up,40.0000,1.539177e-04,2.311482e-05,-173.2079,2.000000e-04,8.242233e-08,0.2586,4,1,-2.295260e-05,-2.733703e-06,2.353000e-03,39.9999,0,4.0000,13.3647,39.9999,40.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
