# Run=pixel_094 DC hysteresis follow-up
# theta_i_HWP_deg=41.645
# V_AC_Vpp=9.0
# ANL_peak_deg=95.761
# Q_null_deg=111.486
# A_null_deg=50.759
# EO_lockin_reference_phase_deg=-29.4666912952
# Rotation_reference_phase_deg=-35.3143953111
# DC_fringe_null_power_W=3.19560902256e-06
# DC_fringe_quadrature_power_W=0.000138793948872
# DC_fringe_bright_power_W=0.000274392288722
# DC_HYST_VMAX=50.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_GRID_PROFILE=center_dense
# DC_HYST_SPACING=centre-dense standard (+/-[50, 40, 30, 25, 20, 15, 12.5, 10, 7.5, 5, 2.5, 1.25, 0] V, including 0 V)
# DC_HYST_VOLTAGE_LEVELS_V=[-50.0,-40.0,-30.0,-25.0,-20.0,-15.0,-12.5,-10.0,-7.5,-5.0,-2.5,-1.25,0.0,1.25,2.5,5.0,7.5,10.0,12.5,15.0,20.0,25.0,30.0,40.0,50.0]
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=2.5
# Lock_in_avg_readings=4
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=14
# Lock_in_range_mode=predictive_hysteretic
# Lock_in_dynamic_range_indices=[11,12,13,14,15,16]
# Lock_in_dynamic_fullscales_uV=[5.0,10.0,20.0,50.0,100.0,200.0]
# Lock_in_dynamic_target_fraction=0.6
# Lock_in_dynamic_rescue_fraction=0.85
# Lock_in_range_changes=1
# Lock_in_range_rescue_rereads=0
# Lock_in_input_overload_points=0
# Lock_in_output_overload_points=0
# AC_dither_Vpp=4.0
# Voltage_sequence=DC-only_pole_then_gated_AC_measurement
# AC_enabled_during_DC_ramp_or_poling=False
# SMU_electrical_sample_phase=after_DC_poling_before_AC_enable
# SMU_V_read_semantics=measured_terminal_voltage
# SMU_DC_readback_tolerance_V=0.5
# SMU_DC_readback_attempts=3
# Compliance_A=0.05
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp,AC_measurement_window_s,SMU_V_measured_V,SMU_V_set_V,LockIn_Sens_Index,LockIn_Range_Mode,LockIn_Range_Predicted_V,LockIn_Range_Noise_Prior_V,LockIn_Range_Upper_Bound_V,LockIn_Range_Requested_Index,LockIn_Range_Change_Reason,LockIn_Range_Changed,LockIn_Range_Rescue_Reread,LockIn_XY_Noise_Sigma_V,LockIn_Overload_Byte,LockIn_Overload_Byte_Observed,LockIn_Status_Byte,LockIn_Status_Byte_Observed,LockIn_Output_Overload_Observed,LockIn_Output_Overload_Final,LockIn_Input_Overload
30,1361.194,up,-12.5000,1.381933e-04,7.955173e-07,-18.9445,5.000000e-06,6.206170e-08,3.8182,4,1,7.524269e-07,-2.582666e-07,-2.422770e-05,-12.5000,0,4.0000,13.3098,-12.5000,-12.5000,11,predictive_hysteretic,9.047831e-07,1.630326e-07,1.556913e-06,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
31,1405.047,up,-10.0000,1.378416e-04,2.004464e-07,21.2973,5.000000e-06,7.662842e-08,9.3089,4,1,1.867575e-07,7.280370e-08,-1.492280e-05,-10.0000,0,4.0000,13.3515,-10.0000,-10.0000,11,predictive_hysteretic,6.457942e-07,1.630326e-07,1.297925e-06,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
32,1448.882,up,-7.5000,1.381096e-04,1.548218e-07,156.0136,5.000000e-06,5.147749e-08,30.4590,4,1,-1.414517e-07,6.293824e-08,-8.823940e-06,-7.5000,0,4.0000,13.3502,-7.5000,-7.5000,11,predictive_hysteretic,1.466120e-07,1.630326e-07,7.987424e-07,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
33,1492.708,up,-5.0000,1.371650e-04,2.479037e-07,171.9306,5.000000e-06,9.354735e-08,17.1302,4,1,-2.454491e-07,3.479902e-08,-5.642830e-06,-5.0000,0,4.0000,13.3390,-5.0000,-5.0000,11,predictive_hysteretic,1.334230e-07,1.630326e-07,7.855534e-07,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
34,1536.562,up,-2.5000,1.384442e-04,2.168481e-07,144.1859,5.000000e-06,4.656530e-08,24.7406,4,1,-1.758464e-07,1.268901e-07,-3.167910e-06,-2.5000,0,4.0000,13.3524,-2.5000,-2.5000,11,predictive_hysteretic,3.409856e-07,1.000000e-07,7.409856e-07,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
35,1580.390,up,-1.2500,1.371696e-04,2.305946e-07,148.6306,5.000000e-06,1.297730e-07,19.7346,4,1,-1.968883e-07,1.200369e-07,-2.065800e-06,-1.2500,0,4.0000,13.3275,-1.2500,-1.2500,11,predictive_hysteretic,2.971419e-07,1.000000e-07,6.971419e-07,11,predictive_hold,0,0,1.123066e-07,0,0,33,33,0,0,0
36,1624.192,up,0.0000,1.379271e-04,1.791124e-07,126.7150,5.000000e-06,6.032180e-08,23.8778,4,1,-1.070797e-07,1.435799e-07,4.472880e-08,-0.0000,0,4.0000,13.3157,-0.0000,0.0000,11,predictive_hysteretic,2.443411e-07,1.123066e-07,6.935676e-07,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
37,1668.025,up,1.2500,1.384342e-04,1.757816e-07,120.6858,5.000000e-06,7.803915e-08,35.4384,4,1,-8.970644e-08,1.511685e-07,4.859430e-06,1.2500,0,4.0000,13.3324,1.2500,1.2500,11,predictive_hysteretic,1.472592e-07,1.123066e-07,5.964857e-07,11,predictive_hold,0,0,1.219694e-07,0,0,33,33,0,0,0
38,1711.844,up,2.5000,1.384812e-04,2.591425e-07,124.9144,5.000000e-06,1.285170e-07,12.9818,4,1,-1.483207e-07,2.124989e-07,1.500510e-05,2.5000,0,4.0000,13.3332,2.5000,2.5000,11,predictive_hysteretic,1.749468e-07,1.219694e-07,6.628243e-07,11,predictive_hold,0,0,1.189079e-07,0,0,33,33,0,0,0
39,1755.666,up,5.0000,1.383631e-04,1.451294e-07,170.1497,5.000000e-06,6.009126e-08,12.3178,4,1,-1.429899e-07,2.482799e-08,3.646010e-05,5.0000,0,4.0000,13.3359,5.0000,5.0000,11,predictive_hysteretic,4.258643e-07,1.219694e-07,9.137418e-07,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
