# Run=pixel_018 DC hysteresis follow-up
# theta_i_HWP_deg=7.895
# V_AC_Vpp=9.0
# ANL_peak_deg=211.271
# Q_null_deg=46.854
# A_null_deg=166.278
# EO_lockin_reference_phase_deg=6.47806790853
# Rotation_reference_phase_deg=6.66211508547
# DC_fringe_null_power_W=3.74088421053e-06
# DC_fringe_quadrature_power_W=0.000197895362406
# DC_fringe_bright_power_W=0.000392049840602
# DC_HYST_VMAX=40.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_GRID_PROFILE=center_dense
# DC_HYST_SPACING=centre-dense standard (+/-[40, 30, 25, 20, 15, 12.5, 10, 7.5, 5, 2.5, 1.25, 0] V, including 0 V)
# DC_HYST_VOLTAGE_LEVELS_V=[-40.0,-30.0,-25.0,-20.0,-15.0,-12.5,-10.0,-7.5,-5.0,-2.5,-1.25,0.0,1.25,2.5,5.0,7.5,10.0,12.5,15.0,20.0,25.0,30.0,40.0]
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=2.5
# Lock_in_avg_readings=4
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=16
# Lock_in_range_mode=fixed
# Lock_in_range_changes=0
# Lock_in_range_rescue_rereads=0
# Lock_in_input_overload_points=0
# Lock_in_output_overload_points=0
# AC_dither_Vpp=4.0
# Voltage_sequence=DC-only_pole_then_gated_AC_measurement
# AC_enabled_during_DC_ramp_or_poling=False
# SMU_electrical_sample_phase=after_DC_poling_before_AC_enable
# SMU_V_read_semantics=measured_terminal_voltage
# SMU_DC_readback_tolerance_V=0.5
# SMU_DC_readback_attempts=3
# Compliance_A=0.03
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp,AC_measurement_window_s,SMU_V_measured_V,SMU_V_set_V,LockIn_Sens_Index,LockIn_Range_Mode,LockIn_Range_Predicted_V,LockIn_Range_Noise_Prior_V,LockIn_Range_Upper_Bound_V,LockIn_Range_Requested_Index,LockIn_Range_Change_Reason,LockIn_Range_Changed,LockIn_Range_Rescue_Reread,LockIn_XY_Noise_Sigma_V,LockIn_Overload_Byte,LockIn_Overload_Byte_Observed,LockIn_Status_Byte,LockIn_Status_Byte_Observed,LockIn_Output_Overload_Observed,LockIn_Output_Overload_Final,LockIn_Input_Overload
31,1404.376,up,-2.5000,2.027652e-04,4.554613e-06,-157.4583,2.000000e-04,4.085810e-08,0.8658,4,1,-4.206645e-06,-1.746034e-06,-1.858150e-04,-2.5000,0,4.0000,13.2973,-2.5000,-2.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
32,1448.192,up,-1.2500,2.036498e-04,4.719178e-06,-147.1732,2.000000e-04,4.948525e-08,1.2320,4,1,-3.965588e-06,-2.558272e-06,-9.029750e-05,-1.2500,0,4.0000,13.3176,-1.2500,-1.2500,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
33,1492.043,up,0.0000,2.036453e-04,5.773517e-06,-142.9449,2.000000e-04,1.673311e-07,1.4940,4,1,-4.607595e-06,-3.479019e-06,6.064790e-08,0.0000,0,4.0000,13.3673,0.0000,0.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,2.031861e-07,0,0,33,33,0,0,0
34,1535.872,up,1.2500,2.059345e-04,6.544438e-06,-144.9937,2.000000e-04,1.038335e-07,0.8664,4,1,-5.360478e-06,-3.754324e-06,9.169770e-05,1.2500,0,4.0000,13.3307,1.2500,1.2500,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.361413e-07,0,0,33,33,0,0,0
35,1579.724,up,2.5000,2.038058e-04,6.659791e-06,-151.5945,2.000000e-04,8.489465e-08,0.5233,4,1,-5.857973e-06,-3.168118e-06,1.879280e-04,2.5000,0,4.0000,13.3539,2.5000,2.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.015514e-07,0,0,33,33,0,0,0
36,1623.554,up,5.0000,2.058581e-04,5.494657e-06,-158.0909,2.000000e-04,1.246822e-07,0.7412,4,1,-5.097815e-06,-2.050252e-06,3.812430e-04,5.0000,0,4.0000,13.3426,5.0000,5.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.200759e-07,0,0,33,33,0,0,0
37,1667.390,up,7.5000,2.056693e-04,2.553157e-06,-153.5616,2.000000e-04,1.594780e-07,2.5673,4,1,-2.286131e-06,-1.136757e-06,5.919560e-04,7.5000,0,4.0000,13.3510,7.5000,7.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.530903e-07,0,0,33,33,0,0,0
38,1711.229,up,10.0000,2.062214e-04,3.837848e-06,10.3271,2.000000e-04,8.621344e-08,2.2176,4,1,3.775676e-06,6.880005e-07,7.591010e-04,10.0000,0,4.0000,13.3414,10.0000,10.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.575244e-07,0,0,33,33,0,0,0
39,1755.028,up,12.5000,2.056135e-04,8.284922e-06,11.5700,2.000000e-04,4.997535e-08,0.2864,4,1,8.116576e-06,1.661665e-06,9.136330e-04,12.5000,0,4.0000,13.3113,12.5000,12.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
40,1798.829,up,15.0000,2.050467e-04,1.179470e-05,11.3635,2.000000e-04,1.652903e-07,0.4694,4,1,1.156349e-05,2.323939e-06,1.063700e-03,15.0000,0,4.0000,13.3132,15.0000,15.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.690508e-07,0,0,33,33,0,0,0
41,1842.633,up,20.0000,2.059749e-04,1.732489e-05,9.9473,2.000000e-04,8.064854e-08,0.2408,4,1,1.706444e-05,2.992743e-06,1.374290e-03,20.0000,0,4.0000,13.3058,20.0000,20.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
42,1886.428,up,25.0000,2.059293e-04,2.177980e-05,9.2559,2.000000e-04,1.085081e-07,0.2836,4,1,2.149622e-05,3.503141e-06,1.691240e-03,25.0000,0,4.0000,13.3083,25.0000,25.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.209697e-07,0,0,33,33,0,0,0
43,1930.270,up,30.0000,2.056193e-04,2.639489e-05,8.4550,2.000000e-04,6.395775e-08,0.1939,4,1,2.610802e-05,3.880896e-06,2.015820e-03,30.0000,0,4.0000,13.3422,30.0000,30.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
44,1974.515,up,40.0000,2.045042e-04,3.307489e-05,6.7024,2.000000e-04,5.509418e-08,0.1678,4,1,3.284885e-05,3.860227e-06,2.704050e-03,40.0000,0,4.0000,13.3557,40.0000,40.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
